T19,Consumer Price Index,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
384,Côte d’Ivoire,2010,Consumer price index: Food,100.0000,Provisional data.;Abidjan;Calculated by the UN Statistics Division from national indices.;African population.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
384,Côte d’Ivoire,2015,Consumer price index: Food,111.8929,Provisional data.;Abidjan;Calculated by the UN Statistics Division from national indices.;African population.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
384,Côte d’Ivoire,2016,Consumer price index: Food,115.3164,Provisional data.;Abidjan;Calculated by the UN Statistics Division from national indices.;African population.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
384,Côte d’Ivoire,2017,Consumer price index: Food,115.7126,Provisional data.;Abidjan;Calculated by the UN Statistics Division from national indices.;African population.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
191,Croatia,1995,Consumer price index: General,60.2700,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
191,Croatia,2005,Consumer price index: General,85.8357,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
191,Croatia,2010,Consumer price index: General,100.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
191,Croatia,2015,Consumer price index: General,107.3583,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
191,Croatia,2016,Consumer price index: General,106.1500,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
191,Croatia,2017,Consumer price index: General,107.3667,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
191,Croatia,2018,Consumer price index: General,108.9667,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
191,Croatia,2010,Consumer price index: Food,116.5750,Break in the time series.;Index base: 2005=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
191,Croatia,2015,Consumer price index: Food,109.3417,Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
191,Croatia,2016,Consumer price index: Food,108.8250,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
191,Croatia,2017,Consumer price index: Food,112.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
191,Croatia,2018,Consumer price index: Food,113.1000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
531,Curaçao,1995,Consumer price index: General,66.9291,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
531,Curaçao,2005,Consumer price index: General,84.2520,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
531,Curaçao,2010,Consumer price index: General,100.0000,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
531,Curaçao,2015,Consumer price index: General,108.0803,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
531,Curaçao,2016,Consumer price index: General,108.0563,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
531,Curaçao,2017,Consumer price index: General,109.7696,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
531,Curaçao,2018,Consumer price index: General,112.6057,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
531,Curaçao,2010,Consumer price index: Food,100.0000,Calculated by the UN Statistics Division from national indices.;Food only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
531,Curaçao,2015,Consumer price index: Food,124.8382,Calculated by the UN Statistics Division from national indices.;Food only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
531,Curaçao,2016,Consumer price index: Food,126.7568,Calculated by the UN Statistics Division from national indices.;Food only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
531,Curaçao,2017,Consumer price index: Food,128.9066,Calculated by the UN Statistics Division from national indices.;Food only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
531,Curaçao,2018,Consumer price index: Food,134.5758,Calculated by the UN Statistics Division from national indices.;Food only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
196,Cyprus,2005,Consumer price index: General,88.6063,Calculated by the UN Statistics Division from national indices.;Excluding northern Cyprus.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
196,Cyprus,2010,Consumer price index: General,100.0000,Calculated by the UN Statistics Division from national indices.;Excluding northern Cyprus.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
196,Cyprus,2015,Consumer price index: General,101.7294,Calculated by the UN Statistics Division from national indices.;Excluding northern Cyprus.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
196,Cyprus,2016,Consumer price index: General,100.2747,Calculated by the UN Statistics Division from national indices.;Excluding northern Cyprus.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
196,Cyprus,2017,Consumer price index: General,100.8087,Calculated by the UN Statistics Division from national indices.;Excluding northern Cyprus.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
196,Cyprus,2018,Consumer price index: General,102.2813,Calculated by the UN Statistics Division from national indices.;Excluding northern Cyprus.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
196,Cyprus,2010,Consumer price index: Food,100.0000,Calculated by the UN Statistics Division from national indices.;Excluding northern Cyprus.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
196,Cyprus,2015,Consumer price index: Food,103.5581,Calculated by the UN Statistics Division from national indices.;Excluding northern Cyprus.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
196,Cyprus,2016,Consumer price index: Food,103.1715,Calculated by the UN Statistics Division from national indices.;Excluding northern Cyprus.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
196,Cyprus,2017,Consumer price index: Food,102.7845,Calculated by the UN Statistics Division from national indices.;Excluding northern Cyprus.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
196,Cyprus,2018,Consumer price index: Food,103.6181,Calculated by the UN Statistics Division from national indices.;Excluding northern Cyprus.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,1995,Consumer price index: General,56.1272,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,2005,Consumer price index: General,86.9551,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,2010,Consumer price index: General,100.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,2015,Consumer price index: General,107.5398,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,2016,Consumer price index: General,108.2300,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,2017,Consumer price index: General,110.8750,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,2018,Consumer price index: General,113.2833,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,1995,Consumer price index: Food,76.9861,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,2005,Consumer price index: Food,89.8648,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,2010,Consumer price index: Food,100.0000,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,2015,Consumer price index: Food,118.4052,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,2016,Consumer price index: Food,117.2999,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,2017,Consumer price index: Food,123.4417,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
203,Czechia,2018,Consumer price index: Food,125.0667,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
180,Dem. Rep. of the Congo,1995,Consumer price index: General,0.0126,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
180,Dem. Rep. of the Congo,2005,Consumer price index: General,58.5668,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
180,Dem. Rep. of the Congo,2010,Consumer price index: General,100.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
180,Dem. Rep. of the Congo,2015,Consumer price index: General,130.0965,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
180,Dem. Rep. of the Congo,2016,Consumer price index: General,133.8509,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
180,Dem. Rep. of the Congo,2015,Consumer price index: Food,122.0104,Provisional data.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
180,Dem. Rep. of the Congo,2016,Consumer price index: Food,125.7039,Provisional data.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
208,Denmark,1995,Consumer price index: General,72.8328,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
208,Denmark,2005,Consumer price index: General,90.0098,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
208,Denmark,2010,Consumer price index: General,100.0000,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
208,Denmark,2015,Consumer price index: General,107.1333,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
208,Denmark,2016,Consumer price index: General,107.4011,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
208,Denmark,2017,Consumer price index: General,108.6332,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
208,Denmark,2018,Consumer price index: General,109.5170,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
208,Denmark,2005,Consumer price index: Food,86.3868,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
208,Denmark,2010,Consumer price index: Food,100.0000,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
208,Denmark,2015,Consumer price index: Food,109.0603,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
208,Denmark,2016,Consumer price index: Food,109.1694,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
208,Denmark,2017,Consumer price index: Food,112.2319,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
208,Denmark,2018,Consumer price index: Food,112.2774,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
262,Djibouti,2005,Consumer price index: General,77.8004,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
262,Djibouti,2010,Consumer price index: General,100.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
262,Djibouti,2015,Consumer price index: General,112.4791,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
262,Djibouti,2016,Consumer price index: General,115.5592,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
262,Djibouti,2017,Consumer price index: General,116.2158,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
212,Dominica,1995,Consumer price index: General,74.7456,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
212,Dominica,2005,Consumer price index: General,86.0058,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
212,Dominica,2010,Consumer price index: General,100.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
212,Dominica,2015,Consumer price index: General,102.4625,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
212,Dominica,2016,Consumer price index: General,102.6995,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
212,Dominica,2017,Consumer price index: General,103.0600,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
212,Dominica,2015,Consumer price index: Food,110.9133,Provisional data.;Index base: June 2010=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
212,Dominica,2016,Consumer price index: Food,110.9200,Provisional data.;Index base: June 2010=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
212,Dominica,2017,Consumer price index: Food,111.1467,Provisional data.;Index base: June 2010=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
214,Dominican Republic,1995,Consumer price index: General,23.2046,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
214,Dominican Republic,2005,Consumer price index: General,73.3837,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
214,Dominican Republic,2010,Consumer price index: General,100.0000,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
214,Dominican Republic,2015,Consumer price index: General,122.4511,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
214,Dominican Republic,2016,Consumer price index: General,124.4277,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
214,Dominican Republic,2017,Consumer price index: General,128.5084,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
214,Dominican Republic,2018,Consumer price index: General,133.0890,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
214,Dominican Republic,2005,Consumer price index: Food,74.6070,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
214,Dominican Republic,2010,Consumer price index: Food,100.0000,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
214,Dominican Republic,2015,Consumer price index: Food,133.0134,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
214,Dominican Republic,2016,Consumer price index: Food,135.8732,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
214,Dominican Republic,2017,Consumer price index: Food,139.0165,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
214,Dominican Republic,2018,Consumer price index: Food,144.0337,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
218,Ecuador,1995,Consumer price index: General,6.9239,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
218,Ecuador,2005,Consumer price index: General,80.1829,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
218,Ecuador,2010,Consumer price index: General,100.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
218,Ecuador,2015,Consumer price index: General,121.4763,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
218,Ecuador,2016,Consumer price index: General,123.5757,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
218,Ecuador,2017,Consumer price index: General,124.0914,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
218,Ecuador,2018,Consumer price index: General,123.8133,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
218,Ecuador,2005,Consumer price index: Food,70.6638,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
218,Ecuador,2010,Consumer price index: Food,100.0000,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
218,Ecuador,2015,Consumer price index: Food,125.1951,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
218,Ecuador,2016,Consumer price index: Food,128.3696,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
218,Ecuador,2017,Consumer price index: Food,129.0109,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
218,Ecuador,2018,Consumer price index: Food,126.9066,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
818,Egypt,1995,Consumer price index: General,36.5593,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
818,Egypt,2005,Consumer price index: General,57.7573,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
818,Egypt,2010,Consumer price index: General,100.0000,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
818,Egypt,2015,Consumer price index: General,156.8030,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
818,Egypt,2016,Consumer price index: General,178.4570,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
818,Egypt,2017,Consumer price index: General,231.1053,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
818,Egypt,2015,Consumer price index: Food,194.0500,Provisional data.;Index base: January 2010=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
818,Egypt,2016,Consumer price index: Food,226.3750,Provisional data.;Index base: January 2010=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
818,Egypt,2017,Consumer price index: Food,313.8917,Provisional data.;Index base: January 2010=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
818,Egypt,2018,Consumer price index: Food,355.6500,Provisional data.;Index base: January 2010=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
222,El Salvador,1995,Consumer price index: General,59.1820,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
222,El Salvador,2005,Consumer price index: General,84.2404,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
222,El Salvador,2010,Consumer price index: General,100.0000,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
222,El Salvador,2015,Consumer price index: General,108.1905,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
222,El Salvador,2016,Consumer price index: General,108.8440,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
222,El Salvador,2017,Consumer price index: General,109.9459,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
222,El Salvador,2018,Consumer price index: General,111.1446,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
222,El Salvador,2016,Consumer price index: Food,119.2551,Provisional data.;Index base: December 2009=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
222,El Salvador,2017,Consumer price index: Food,119.4475,Provisional data.;Index base: December 2009=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
226,Equatorial Guinea,1995,Consumer price index: General,45.8022,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
226,Equatorial Guinea,2005,Consumer price index: General,77.4781,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
226,Equatorial Guinea,2010,Consumer price index: General,100.0000,Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
226,Equatorial Guinea,2015,Consumer price index: General,118.6177,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
226,Equatorial Guinea,2016,Consumer price index: General,120.2925,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
226,Equatorial Guinea,2017,Consumer price index: General,121.1879,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
226,Equatorial Guinea,2010,Consumer price index: Food,100.0000,Provisional data.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
226,Equatorial Guinea,2015,Consumer price index: Food,123.3787,Provisional data.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
226,Equatorial Guinea,2016,Consumer price index: Food,118.3734,Provisional data.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
226,Equatorial Guinea,2017,Consumer price index: Food,120.2625,Provisional data.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
233,Estonia,1995,Consumer price index: General,42.0028,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
233,Estonia,2005,Consumer price index: General,79.1094,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
233,Estonia,2010,Consumer price index: General,100.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
233,Estonia,2015,Consumer price index: General,111.4748,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
233,Estonia,2016,Consumer price index: General,111.6432,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
233,Estonia,2017,Consumer price index: General,115.4519,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
233,Estonia,2018,Consumer price index: General,119.4133,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
233,Estonia,2005,Consumer price index: Food,77.1026,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
233,Estonia,2010,Consumer price index: Food,100.0000,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
233,Estonia,2015,Consumer price index: Food,117.9886,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
233,Estonia,2016,Consumer price index: Food,117.6500,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
233,Estonia,2017,Consumer price index: Food,124.7743,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
233,Estonia,2018,Consumer price index: Food,128.6008,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
748,Eswatini,1995,Consumer price index: General,34.3024,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
748,Eswatini,2005,Consumer price index: General,69.4559,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
